punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2(   0 ,  50 ) heeft buur punt2(   1 ,  50 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2(   0 , 100 ) heeft buur punt2(   0 , 100 ),  gevonden in    15 doorzochte knopen met afstand 0
punt2(   0 , 150 ) heeft buur punt2(   0 , 150 ),  gevonden in    17 doorzochte knopen met afstand 0
punt2(   0 , 200 ) heeft buur punt2(   2 , 200 ),  gevonden in    31 doorzochte knopen met afstand 4
punt2(   0 , 250 ) heeft buur punt2(   0 , 251 ),  gevonden in    18 doorzochte knopen met afstand 1
punt2(   0 , 300 ) heeft buur punt2(   0 , 301 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2(   0 , 350 ) heeft buur punt2(   1 , 354 ),  gevonden in    36 doorzochte knopen met afstand 17
punt2(   0 , 400 ) heeft buur punt2(   4 , 401 ),  gevonden in    25 doorzochte knopen met afstand 17
punt2(   0 , 450 ) heeft buur punt2(   0 , 450 ),  gevonden in    15 doorzochte knopen met afstand 0
punt2(   0 , 500 ) heeft buur punt2(   0 , 502 ),  gevonden in    19 doorzochte knopen met afstand 4
punt2(   0 , 550 ) heeft buur punt2(   2 , 548 ),  gevonden in    29 doorzochte knopen met afstand 8
punt2(   0 , 600 ) heeft buur punt2(   1 , 600 ),  gevonden in    19 doorzochte knopen met afstand 1
punt2(   0 , 650 ) heeft buur punt2(   0 , 651 ),  gevonden in    14 doorzochte knopen met afstand 1
punt2(   0 , 700 ) heeft buur punt2(   0 , 700 ),  gevonden in    13 doorzochte knopen met afstand 0
punt2(   0 , 750 ) heeft buur punt2(   4 , 749 ),  gevonden in    21 doorzochte knopen met afstand 17
punt2(   0 , 800 ) heeft buur punt2(   0 , 800 ),  gevonden in    14 doorzochte knopen met afstand 0
punt2(   0 , 850 ) heeft buur punt2(   3 , 849 ),  gevonden in    26 doorzochte knopen met afstand 10
punt2(   0 , 900 ) heeft buur punt2(   0 , 905 ),  gevonden in    25 doorzochte knopen met afstand 25
punt2(   0 , 950 ) heeft buur punt2(   1 , 951 ),  gevonden in    22 doorzochte knopen met afstand 2
